,smiles,value
346,*C=Cc1ccc(OC(=O)CCCCCCCCC(=O)Oc2cccc(-c3nnc(*)s3)c2)cc1,10.77
310,*CCCNC(=O)CNC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)CCCCCCCCC(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)NCC(=O)NCCCOCCOCCO*)C(C)C)C(C)C,42.16
26,*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCC,17.37
7,*C=CCCC*,14.57
141,*CCCCCCCCCCCCOC(=O)c1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(C(=O)O*)cc2)cc1,16.42
393,*C(=O)c1ccc(N(*)CCCC)cc1,71.56
108,*CCCCCCCCCCOC(=O)c1ccc(C(=O)O*)cc1,79.26
101,*CCCCCCCCCCOC(=O)CCCCCCCCC(=O)O*,75.09
211,*CCCCCCNC(=O)C(CCCCCC)C(=O)N*,17.72
404,*CC(CCCCCCCCCCCCCCCC)C1C(=O)N(CCCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)C1*,2.98
118,*CCCCCCCCCCCCCCC(=O)O*,60.3
114,*CCCCC(=O)O*,44.85
165,*C(=O)OCCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,14.52
262,*CCC(*)=O,93.5
320,*c1cccc(OCCCCCCCCCCCOC(=O)c2ccc(C(=O)OCCCCCCCCCCCOc3cccc(-c4nnc(*)s4)c3)cc2)c1,17.01
421,*CCN(*)C(=O)CCCCCCCCC,18.09
347,*C=Cc1ccc(OC(=O)CCCCCCCCC(=O)Oc2ccc(-c3nnc(*)s3)cc2)cc1,8.94
194,*CCCCCCCCNC(=O)CCC=CCCC(=O)N*,22.55
409,*CCN(*)C(=O)CCCCCCCCCCCC,13.23
317,*c1ccc(OCCCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCCOc2cccc(-c3nnc(*)s3)c2)cc1,30.69
291,*Oc1cccc(Oc2ccc(Oc3cccc(OC(=O)c4ccc(C(*)=O)cc4)c3)cc2)c1,18.79
155,*CCCCOC(=O)CCCC(=O)O*,31.41
351,*CCCCCCCCCCOC(=O)c1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(C(=O)O*)cc2)cc1,17.1
109,*Oc1c(Cl)cc(C(C)(C)c2cc(Cl)c(OC(=O)CCCCC(*)=O)c(Cl)c2)cc1Cl,48.47
248,*CCCCCCCCCCCCCNC(=O)CCCCCCCCCCCC(=O)N*,30.22
198,*Nc1cccc(NC(=O)CCCCC(*)=O)c1,46.36
357,*OC(CCCCC)CC(*)=O,50.92
222,*CCCCCCNC(=O)CC(C)c1ccc(C(C)CC(=O)N*)cc1,11.87
83,*CCCCCCS*,87.41
341,*c1cc(CCCCCCCCCCCC)c(*)s1,7.63
278,*C=CC1CC(*)C2CC=CC12,41.11
74,*CC(CO*)(COC=O)COC=O,53.4
208,*CCCCCCNC(=O)C(CCCCCCCCCCCCCCCCC)C(=O)N*,53.53
401,*CCC1C(=O)N(CCCCCCCCCCCC)C(=O)C1*,5.94
119,*CCCCCCC(=O)O*,40.25
253,*CCCCCCOC(=O)O*,31.95
412,*CCN(*)C(=O)CCCCCCCCCCCCCCC,11.08
360,*CCCCCCCCCCOC(=O)CC=CCC(=O)O*,84.02
390,*NC(CCC(=O)OCCCCCCCCCCCCCCCCCC)C(*)=O,36.87
383,*CCCCCCCCCOC(=O)CCC(=O)O*,49.36
408,*CCN(*)C(=O)CCCCCCCCCC,15.83
175,*CCCCCCCC(=O)N*,48.41
332,*Oc1cc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4)cc3)cc2)c(Cl)cc1Cl,39.32
218,*CCCCCCNC(=O)C(CCCCCCCCCCCCCC)C(=O)N*,30.58
36,*C(F)(F)C(*)(F)Cl,77.15
139,*CCCCCCCCCCOC(=O)CCCCCNC(=O)c1ccc(C(=O)NCCCCCC(=O)O*)cc1,24.04
316,*Oc1ccc(-c2ccc(Oc3ccc(C(=O)c4ccc(C(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1,63.91
181,*Cc1cccc(CNC(=O)CCCCC(=O)N*)c1,25.87
402,*CCC1C(=O)N(CCCCCCCCCCCCCCCC)C(=O)C1*,8.58
289,*Oc1ccc(Oc2cccc(C(=O)Oc3ccc(-c4ccc(OC(=O)c5cccc(*)c5)cc4)cc3)c2)cc1,57.07
59,*CCOC(=O)c1ccc(O*)cc1,67.44
111,*CCCCOC(=O)CCCCC(=O)O*,63.01
192,*CCCCCNC(=O)CCC=CCCC(=O)N*,26.16
204,*CCCCCCCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,13.71
6,*CC(*)CCCCCC,75.06
312,*CCOCCOCCOCCOCc1cc(CO*)cc(OCCCCCCCCCCCCCCCC)c1,26.35
298,*CC(CS(=O)(=O)CCCC)O*,0.13
158,*CCOC(=O)CCCCCNC(=O)c1ccc(C(=O)NCCCCCC(=O)O*)cc1,17.83
150,*CCCCCCCCOC(=O)c1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(C(=O)O*)cc2)cc1,18.52
177,*CCCCCCCCCCCC(=O)N*,46.0
10,*CC(*)c1ccccc1,27.37
227,*CCCCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,15.71
103,*CCOC(=O)c1cccc(C(=O)O*)c1,40.99
81,*CCCCCCOC(=O)Nc1ccc(C)c(NC(=O)OCCCCCCOc2ccc(-c3ccc(O*)cc3)cc2)c1,37.92
245,*CCCCCCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,36.98
271,*C=CCCCCCCCCCC(CCCCCCCCC*)COCCOCCOCCOCCOCCCCCCCCCCCCCC,20.64
167,*CCCCNC(=O)CCCCC(=O)N*,64.85
406,*CC(C)(C)COC(=O)O*,26.11
247,*CCCCCCCCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,23.4
255,*Oc1ccc(C(C)=NN=C(C)c2ccc(OC(=O)OCCCCCCOC(*)=O)cc2)cc1,44.64
196,*CCCCNC(=O)c1ccc(C(=O)N*)cc1,94.18
193,*CCCCCCCNC(=O)CCC=CCCC(=O)N*,28.31
89,*CCCOC(=O)CCCCC(=O)O*,26.74
413,*CCN(*)C(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,26.86
163,*C(=O)OCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,16.63
302,*CCCCCCCCOC(=O)Nc1ccc(NC(=O)OCCCCCCCCOc2ccc(-c3ccc(O*)cc3)cc2)c(C)c1,11.3
147,*CCCCCCOC(=O)CCCCCNC(=O)c1ccc(C(=O)NCCCCCC(=O)O*)cc1,29.18
2,*CC(*)CC,34.04
92,*CCCOC(=O)CCCCCCC(=O)O*,92.48
69,*CCOCC(=O)O*,55.93
237,*CCCCCCCCCOC(=O)NCCCCCCNC(=O)O*,30.17
123,*CCCCCCCCCCCC(=O)O*,59.84
389,*NC(CCC(=O)OCCCCCCCCCCCCCCCC)C(*)=O,30.47
96,*CCOC(=O)CCCCCCCCC(=O)O*,60.1
143,*CCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,22.75
384,*CCCCCCNC(=O)CCc1ccc(C(C)CC(=O)N*)cc1,22.96
362,*CCCCCCCCCCCCCCOC(=O)CC=CCC(=O)O*,82.99
97,*CCCOC(=O)CCCCCCCCC(=O)O*,37.93
266,*CC(*)c1ccc(S(=O)(=O)O)cc1,11.0
68,*CC(CC)(CC)CO*,41.8
23,*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,43.74
37,*CCC=C(*)Cl,90.11
144,*CCOC(=O)c1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(C(=O)O*)cc2)cc1,22.49
122,*CCCCCCCCCC(=O)O*,50.94
239,*CC(F)(F)C(F)(F)COC(=O)NCCCCCCNC(=O)O*,36.03
202,*NC1CCC(CC2CCC(NC(=O)CCCCCCCCCCCCC(*)=O)CC2)CC1,12.75
182,*CCCCNC(=O)CCC=CCCC(=O)N*,31.26
67,*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,31.10578095
220,*CCCCCCNC(=O)C(CCCCCCCCCCC)C(=O)N*,28.87
371,*Oc1cc(OC(=O)c2ccc(OCCC)cc2)c(OC(=O)CCCCCCCCCCCCCCC(*)=O)cc1OC(=O)c1ccc(OCCC)cc1,28.48
305,*Oc1cc(C(=O)c2ccccc2)c(Oc2ccc(*)cc2)cc1C(=O)c1ccccc1,72.56
353,*Oc1ccc(OC(=O)c2ccc(-c3ccc(C(*)=O)cc3)cc2)cc1,0.64
377,*CCc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(CCOC(=O)c4cccc(C(=O)O*)c4)cc3)c2)cc1,57.22
411,*CCN(*)C(=O)CCCCCCCCCCCCCC,12.58
234,*CCCCCCOC(=O)NCCCCCCNC(=O)O*,37.25
125,*CCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)O*,87.94
146,*CCCCCCOC(=O)c1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(C(=O)O*)cc2)cc1,20.19
331,*Oc1cccc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4Cl)c(Cl)c3)cc2)c1,17.81
324,*Oc1cccc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4F)c(F)c3)cc2)c1,17.55
223,*CCCCCCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,14.55
228,*CCCCCCNC(=O)CCCCC(=O)NCC(=O)N*,35.31
86,*CCCCOC(=O)CCC(=O)O*,56.84
364,*CCCCCCCCCCCCOC(=O)CCC=CCCC(=O)O*,93.31
219,*CCCCCCNC(=O)C(CCCCCCCCCCCCC)C(=O)N*,33.12
244,*CCCCCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,23.05
365,*CCCCCCCCCCCCCCOC(=O)CCC=CCCC(=O)O*,81.89
249,*CCCCCCNC(=O)N*,49.48
301,*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(OCCCCCCCCCCOc4ccc(C(*)=O)cc4)cc3)cc2)cc1,22.1
327,*Oc1cc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4F)c(F)c3)cc2)c(Cl)cc1Cl,19.01
183,*C(=O)CCCCCCCCC(=O)N1CCN(*)CC1,52.64
281,*Oc1ccc(Oc2ccc(Oc3ccc(Oc4ccc(OC(=O)c5cccc(C(*)=O)c5)cc4)cc3)cc2)cc1,64.24
307,*CCCNC(=O)CCCCCCCCC(=O)NCCCOCCOCCO*,27.62
340,*CC(CC)(CC)CS*,42.66
387,*NC(CCC(=O)OCCCCCCCCCCCC)C(*)=O,11.27
129,*CC(C)C(C)COC(=O)c1ccc(C(=O)O*)cc1,14.88
38,*CCC(F)(F)C(*)(F)F,43.69
11,*CC(*)c1ccc(C)cc1,18.59
410,*CCN(*)C(=O)CCCCCCCCCCCCC,13.42
185,*CCCCCCCCCCNC(=O)CCC=CCCC(=O)N*,32.24
294,*Oc1cccc(Oc2ccc(C(=O)Oc3ccc(OC(=O)c4ccc(*)cc4)cc3)cc2)c1,43.84
407,*CCN(*)C(=O)CCCCCCCC,16.86
112,*CCCCCOC(=O)CCCCC(=O)O*,34.68
179,*NC1CCC(CC2CCC(NC(=O)CCCCCCCCCCC(*)=O)CC2)CC1,25.59
265,*CCC1CC(*)C2C3CCC(C3)C12,10.18
314,*OC(=O)CNC(=O)CCCCCCCCC(=O)NCC(=O)OC1COC2C(*)COC12,33.84
405,*CCCOC(=O)O*,10.25
283,*Oc1ccc(Oc2ccc(Oc3ccc(OC(=O)c4ccc(Oc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,79.04
416,*CCN(*)C(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,25.82
311,*CCCNC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)CCCCCCCCC(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)NCCCOCCOCCO*)C(C)C)C(C)C,44.71
233,*CCCCCOC(=O)NCCCCCCNC(=O)O*,27.33
268,*C=CCCCCCCCCCC(Cl)CCCCCCCCC*,27.65
164,*C(=O)OCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,15.48
136,*OC(CC(*)=O)C(Cl)(Cl)Cl,9.71
197,*CCCCCCNC(=O)CCc1ccc(CCC(=O)N*)cc1,44.13
258,*Oc1ccc(C(C)=NN=C(C)c2ccc(OC(=O)OCCCCCCCCCCCCOC(*)=O)cc2)cc1,23.17
232,*CCCCOC(=O)NCCCCCCNC(=O)O*,44.03
115,*CCCCCC(=O)O*,44.91891622
120,*CCCCCCCC(=O)O*,44.53
224,*CCCCCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,13.79
349,*CCCCOC(=O)CCSCCCCCCSCCC(=O)O*,29.63
290,*Oc1ccc(OC(=O)c2cccc(Oc3ccc(-c4ccc(Oc5cccc(C(*)=O)c5)cc4)cc3)c2)cc1,56.34
127,*CCCCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)O*,50.15
358,*Oc1ccc(C(*)=O)cc1CCC,32.4
107,*CCCCCCOC(=O)c1ccc(C(=O)O*)cc1,84.06
321,*c1cccc(OCCCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCCOc2cccc(-c3nnc(*)s3)c2)c1,28.24
133,*CCC(=O)O*,45.00978462
380,*CC(=O)NCC(=O)O*,24.83
44,*CC(C)O*,77.61
398,*c1ccc(Oc2ccc(Oc3ccc(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)cc2)cc1,72.34
65,*CCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O*,25.61
85,*CCCOC(=O)CCC(=O)O*,50.44
242,*CCCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,29.45
186,*CCCCCCCCCCN1CCN(C(=O)CCCCCCCCC(=O)N2CCN(*)CC2)CC1,53.56
159,*C(=O)OCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,26.33
12,*CC(*)(C)c1ccc(C)cc1,34.09
35,*C(F)C(*)(F)F,72.97
28,*CC(*)C(=O)NCCCCCCCCCCCC,1.76
170,*CCCCCCNC(=O)CCCCCCC(=O)N*,62.18
142,*CCCCCCCCCCCCOC(=O)CCCCCNC(=O)c1ccc(C(=O)NCCCCCC(=O)O*)cc1,21.84
376,*Oc1cc(OC(=O)c2ccc(C)cc2)c(OC(=O)CCCCCCCCCCCCCCC(*)=O)cc1OC(=O)c1ccc(C)cc1,35.53
430,*O[Si](C)(C)CCCC(=O)Oc1ccc(C=Nc2ccc(Cc3ccc(N=Cc4ccc(OC(=O)CCC[Si](*)(C)C)cc4)cc3)cc2)cc1,21.74
221,*CCCCCCNC(=O)CC(C)(C)c1ccc(C(C)(C)CC(=O)N*)cc1,4.38
95,*CCCCCCCCCCOC(=O)CCCCCCCC(=O)O*,66.73
51,*CCCCO*,17.54872941
240,*CCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,47.76
323,*Oc1cccc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4)cc3)cc2)c1,4.37
329,*Oc1cccc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4)cc3)cc2)c1,25.45
178,*CCCCCCCCCCNC(=O)CCCCCCCCC(=O)N*,40.0
41,*CC(C)C=C(*)C,45.53
336,*Oc1ccc(N=Cc2ccc(Oc3ccc(C(c4ccc(Oc5ccc(C=Nc6ccc(Oc7ccc(-c8ccc(*)cc8)cc7)cc6)cc5)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc2)cc1,8.63
206,*CCCCCCNC(=O)C(CCCCCCCCCC)C(=O)N*,23.23
282,*Oc1ccc(Oc2ccc(OC(=O)c3ccc(Oc4ccc(C(*)=O)cc4)cc3)cc2)cc1,55.4
254,*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,16.83
419,*CCN(*)C(=O)CCCCCCCCC=C,17.53
4,*CC(*)CC(C)C,21.64
256,*Oc1ccc(C(C)=NN=C(C)c2ccc(OC(=O)OCCCCCCCCOC(*)=O)cc2)cc1,34.42
388,*NC(CCC(=O)OCCCCCCCCCCCCCC)C(*)=O,22.28
100,*CCCCCCCOC(=O)CCCCCCCCC(=O)O*,45.6
226,*CCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,39.95
370,*Oc1cc(OC(=O)c2ccc(OCC)cc2)c(OC(=O)CCCCCCCCCCCCCCC(*)=O)cc1OC(=O)c1ccc(OCC)cc1,34.21
213,*CCCCCCNC(=O)C(CCCCCCCCCCCCCCCCCC)C(=O)N*,52.69
171,*CCCCCCNC(=O)CCCCCCCC(=O)N*,22.04
98,*CCCCOC(=O)CCCCCCCCC(=O)O*,44.62
292,*Oc1cccc(Oc2ccc(Oc3cccc(OC(=O)c4ccc(-c5ccc(C(*)=O)cc5)cc4)c3)cc2)c1,58.26
215,*CCCCCCNC(=O)C(CCCCCCCCCCCCCCC)C(=O)N*,42.36
61,*CC(=O)NCCCCCCNC(=O)CO*,31.96
47,*CCCO*,55.46
32,*CC(*)C(=O)NCCCCCCCCCCCCCCCCCCCCCC,35.71
267,*C=CCCCCCCC(Cl)CCCCCC*,11.79
200,*C(=O)CCC=CCCC(=O)N1CCN(*)CC1,33.97
386,*NC(CCC(=O)OCCCCCCCCCC)C(*)=O,2.92
27,*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,21.64
338,*C=Nc1ccc(C(=O)OCCCCOCCCCOCCCCOC(=O)c2ccc(N=Cc3ccc(*)s3)cc2)cc1,6.58
230,*CCOC(=O)NCCCCCCNC(=O)O*,21.16
260,*CCCCCCCCCCOC(=O)O*,44.07
288,*Oc1ccc(Oc2cccc(C(=O)Oc3ccc(OC(=O)c4cccc(*)c4)cc3)c2)cc1,44.88
162,*C(=O)OCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,20.25
368,*Oc1ccc(CCNC(=O)c2cccc(C(*)=O)c2)cc1,21.5
138,*CCCCCCCCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,19.33
62,*CCOCCOC(=O)NCCCCCCNC(=O)O*,56.78
135,*CC(C)C(=O)O*,81.29
128,*CCCOC(=O)c1ccc(C(=O)O*)cc1,30.78
8,*C=CCC*,13.1
326,*Oc1cc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4)cc3)cc2)c(Cl)cc1Cl,12.53
64,*CC(=O)OC(=O)c1ccc(C(=O)OC(=O)COc2ccc(O*)cc2)cc1,47.87
300,*Oc1cccc(C(=O)c2ccc(Oc3ccc(C(=O)c4ccc(*)cc4)cc3)cc2)c1,92.57
14,*CC(*)O,39.089205
156,*CCCCOC(=O)CCCCCNC(=O)c1ccc(C(=O)NCCCCCC(=O)O*)cc1,31.12
40,*C=CC(C)C*,62.19
397,*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)cc2)cc1,81.52
354,*Oc1ccc2cc(OC(=O)c3ccc(-c4ccc(C(*)=O)cc4)cc3)ccc2c1,34.61
216,*CCCCCCNC(=O)C(CCCCC)C(=O)N*,21.49
279,*Oc1cccc(OC(=O)c2ccc(Oc3ccc(C(*)=O)cc3)cc2)c1,26.83
375,*Oc1cc(OC(=O)c2ccc(OCCCC)cc2)c(OC(=O)CCCCCC(*)=O)cc1OC(=O)c1ccc(OCCCC)cc1,32.7
337,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C=Nc4ccc(Oc5ccc(-c6ccc(Oc7ccc(N=Cc8ccc(*)cc8)cc7)cc6)cc5)cc4)cc3)cc2)cc1,6.06
236,*CCCCCCCCOC(=O)NCCCCCCNC(=O)O*,30.53
207,*CCCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,32.76
212,*CCCCCCNC(=O)C(CCCCCCCCC)C(=O)N*,21.64
295,*Oc1cccc(C(=O)c2ccc(*)cc2)c1,47.28
395,*c1ccc(Oc2cccc(Oc3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)c2)cc1,74.47
251,*OC(=O)CCCCC(*)=O,96.83
422,*CC(CC)N(*)C(=O)CCCC,17.5
396,*C(=O)Nc1ccc(Oc2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,73.35
303,*CCCCCCCCCCCOC(=O)Nc1ccc(NC(=O)OCCCCCCCCCCCOc2ccc(-c3ccc(O*)cc3)cc2)c(C)c1,28.22
350,*Oc1ccc(OC(=O)c2cccc(C(*)=O)c2)cc1,77.61
269,*CCCCCCCCCCCCCCCCCCCCC(*)COCCOCCOCCOCCOCc1ccc2ccc3cccc4ccc1c2c34,13.63
201,*CC1CCCC(CNC(=O)CCCCC(=O)N*)C1,5.67
161,*C(=O)OCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,18.18
43,*CCO*,70.6655082
217,*CCCCCCNC(=O)C(CCC)C(=O)N*,21.03
190,*CCCCCNC(=O)CCCCCC(=O)N*,38.39
309,*CCCNC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)CCCCCCCCC(=O)NC(Cc1ccccc1)C(=O)NCC(=O)NCCCOCCOCCO*,47.64
259,*CCCCOC(=O)O*,64.6
105,*CCCCOC(=O)c1cccc(C(=O)O*)c1,18.14
53,*CCCCCCCCO*,92.75
1,*CC(*)C,44.47
417,*CCN(*)C(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,37.92
49,*CC(CO)(CO)CO*,90.22
80,*c1cccc(Oc2ccc(-c3ccc(Oc4cccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)c4)cc3)cc2)c1,90.18
205,*CCCCCCNC(=O)C(CCCC)C(=O)N*,21.85
34,*CC(*)(Cl)Cl,67.76
263,*CCC1CC(*)C2CCCC12,23.26
366,*CC(=O)NC(C)C(=O)O*,90.21
91,*CCOC(=O)CCCCCCC(=O)O*,57.21
339,*CCCCOCCCCOCCCCOC(=O)c1ccc(N=Cc2cc(OCCC(C)CCCC(C)C)c(C=Nc3ccc(C(=O)O*)cc3)cc2OCCC(C)CCCC(C)C)cc1,37.44
52,*CCCCCCO*,93.3
345,*C=Cc1cccc(OC(=O)CCCCCCCCC(=O)Oc2ccc(-c3nnc(*)s3)cc2)c1,3.03
264,*CCC1CCC(*)C1,23.52
241,*CCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,52.18
13,*CC(*)c1ccc(O)cc1,11.0
315,*OC(=O)CNC(=O)CNC(=O)CCCCCCCCC(=O)NCC(=O)NCC(=O)OC1COC2C(*)COC12,19.94
88,*CCOC(=O)CCCCC(=O)O*,69.34
273,*CC(*)(C)C(=O)NCCCCCCCCCCC(=O)NCCCCCCCCCCC(=O)OC,10.57
166,*C(=O)OCCCCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,8.62
328,*Oc1cc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4Cl)c(Cl)c3)cc2)c(Cl)cc1Cl,20.02
425,*C([2H])([2H])C(*)(F)F,48.0
134,*OC(CC)CC(*)=O,64.05
306,*CCOCCOCCOc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(O*)cc3)cc2)cc1,55.55
